S000000043	YAL045C	S. cerevisiae	""	""
S000004988	YNL043C	S. cerevisiae	""	""
S000005002	YNL057W	S. cerevisiae	""	""
S000005033	YNL089C	S. cerevisiae	""	""
S000005049	YNL105W	S. cerevisiae	RRT16	Regulator of rDNA Transcription
S000005053	YNL109W	S. cerevisiae	""	""
S000005058	YNL114C	S. cerevisiae	""	""
S000005064	YNL120C	S. cerevisiae	""	""
S000005094	YNL150W	S. cerevisiae	""	""
S000005114	YNL170W	S. cerevisiae	""	""
S000005115	YNL171C	S. cerevisiae	""	""
S000005118	YNL174W	S. cerevisiae	""	""
S000005123	YNL179C	S. cerevisiae	""	""
S000005142	YNL198C	S. cerevisiae	""	""
S000005147	YNL203C	S. cerevisiae	""	""
S000005149	YNL205C	S. cerevisiae	""	""
S000005170	YNL226W	S. cerevisiae	""	""
S000005172	YNL228W	S. cerevisiae	""	""
S000005179	YNL235C	S. cerevisiae	""	""
S000005210	YNL266W	S. cerevisiae	""	""
S000005220	YNL276C	S. cerevisiae	""	""
S000005229	YNL285W	S. cerevisiae	""	""
S000005240	YNL296W	S. cerevisiae	""	""
S000005247	YNL303W	S. cerevisiae	""	""
S000005263	YNL319W	S. cerevisiae	""	""
S000005268	YNL324W	S. cerevisiae	""	""
S000005281	YNL337W	S. cerevisiae	""	""
S000005282	YNL338W	S. cerevisiae	""	""
S000005288	YNR005C	S. cerevisiae	""	""
S000005308	YNR025C	S. cerevisiae	""	""
S000005325	YNR042W	S. cerevisiae	""	""
S000005395	YOL035C	S. cerevisiae	""	""
S000005397	YOL037C	S. cerevisiae	""	""
S000005406	YOL046C	S. cerevisiae	""	""
S000005410	YOL050C	S. cerevisiae	""	""
S000005439	YOL079W	S. cerevisiae	""	""
S000005459	YOL099C	S. cerevisiae	""	""
S000005466	YOL106W	S. cerevisiae	""	""
S000005494	YOL134C	S. cerevisiae	""	""
S000005510	YOL150C	S. cerevisiae	""	""
S000005526	YOL166C	S. cerevisiae	""	""
S000005539	YOR013W	S. cerevisiae	IRC11	Increased Recombination Centers
S000005550	YOR024W	S. cerevisiae	""	""
S000005567	YOR041C	S. cerevisiae	""	""
S000005576	YOR050C	S. cerevisiae	""	""
S000005579	YOR053W	S. cerevisiae	""	""
S000005581	YOR055W	S. cerevisiae	""	""
S000005608	YOR082C	S. cerevisiae	""	""
S000005628	YOR102W	S. cerevisiae	""	""
S000005647	YOR121C	S. cerevisiae	""	""
S000005661	YOR135C	S. cerevisiae	IRC14	""
S000005665	YOR139C	S. cerevisiae	""	""
S000005672	YOR146W	S. cerevisiae	""	""
S000005695	YOR169C	S. cerevisiae	""	""
S000005696	YOR170W	S. cerevisiae	""	""
S000005725	YOR199W	S. cerevisiae	""	""
S000005726	YOR200W	S. cerevisiae	""	""
S000005729	YOR203W	S. cerevisiae	""	""
S000005744	YOR218C	S. cerevisiae	""	""
S000005751	YOR225W	S. cerevisiae	""	""
S000005774	YOR248W	S. cerevisiae	""	""
S000005789	YOR263C	S. cerevisiae	""	""
S000005803	YOR277C	S. cerevisiae	""	""
S000005808	YOR282W	S. cerevisiae	""	""
S000005826	YOR300W	S. cerevisiae	""	""
S000005836	YOR309C	S. cerevisiae	""	""
S000005845	YOR318C	S. cerevisiae	""	""
S000005852	YOR325W	S. cerevisiae	""	""
S000005858	YOR331C	S. cerevisiae	""	""
S000005860	YOR333C	S. cerevisiae	""	""
S000005872	YOR345C	S. cerevisiae	""	""
S000005891	YOR364W	S. cerevisiae	""	""
S000005893	YOR366W	S. cerevisiae	""	""
S000005906	YOR379C	S. cerevisiae	""	""
S000005919	YOR392W	S. cerevisiae	""	""
S000005946	YPL025C	S. cerevisiae	""	""
S000005956	YPL035C	S. cerevisiae	""	""
S000005965	YPL044C	S. cerevisiae	""	""
S000005994	YPL073C	S. cerevisiae	""	""
S000006023	YPL102C	S. cerevisiae	""	""
S000006035	YPL114W	S. cerevisiae	""	""
S000006057	YPL136W	S. cerevisiae	""	""
S000006063	YPL142C	S. cerevisiae	""	""
S000006103	YPL182C	S. cerevisiae	""	""
S000006106	YPL185W	S. cerevisiae	""	""
S000006118	YPL197C	S. cerevisiae	""	""
S000006126	YPL205C	S. cerevisiae	""	""
S000006159	YPL238C	S. cerevisiae	""	""
S000006172	YPL251W	S. cerevisiae	""	""
S000006216	YPR012W	S. cerevisiae	""	""
S000006242	YPR038W	S. cerevisiae	IRC16	Increased Recombination Centers
S000006243	YPR039W	S. cerevisiae	""	""
S000006248	YPR044C	S. cerevisiae	OPI11	OverProducer of Inositol
S000006254	YPR050C	S. cerevisiae	""	""
S000006263	YPR059C	S. cerevisiae	""	""
S000006280	YPR076W	S. cerevisiae	""	""
S000006281	YPR077C	S. cerevisiae	""	""
S000006291	YPR087W	S. cerevisiae	VPS69	Vacuolar Protein Sorting
S000006296	YPR092W	S. cerevisiae	""	""
S000006327	YPR123C	S. cerevisiae	""	""
S000006330	YPR126C	S. cerevisiae	""	""
S000006334	YPR130C	S. cerevisiae	""	""
S000006340	YPR136C	S. cerevisiae	""	""
S000006346	YPR142C	S. cerevisiae	""	""
S000006350	YPR146C	S. cerevisiae	""	""
S000006354	YPR150W	S. cerevisiae	""	""
S000006374	YPR170C	S. cerevisiae	""	""
S000006381	YPR177C	S. cerevisiae	""	""
S000006401	YPR197C	S. cerevisiae	""	""
S000007229	YBL107W-A	S. cerevisiae	""	""
S000007230	YCR018C-A	S. cerevisiae	""	""
S000007231	YCR102W-A	S. cerevisiae	""	""
S000007238	YER091C-A	S. cerevisiae	""	""
S000007240	YGR122C-A	S. cerevisiae	""	""
S000007241	YIR020W-A	S. cerevisiae	""	""
S000007244	YKL162C-A	S. cerevisiae	""	""
S000007248	YMR046W-A	S. cerevisiae	""	""
S000007250	YMR194C-A	S. cerevisiae	""	""
S000007252	YOL013W-B	S. cerevisiae	""	""
S000007254	YPR002C-A	S. cerevisiae	""	""
S000007257	Q0010	S. cerevisiae	""	""
S000007258	Q0017	S. cerevisiae	""	""
S000007259	Q0032	S. cerevisiae	""	""
S000007269	Q0092	S. cerevisiae	""	""
S000007276	Q0142	S. cerevisiae	""	""
S000007277	Q0143	S. cerevisiae	""	""
S000007278	Q0144	S. cerevisiae	""	""
S000007280	Q0182	S. cerevisiae	""	""
S000007284	Q0297	S. cerevisiae	""	""
S000007593	YBR103C-A	S. cerevisiae	""	""
S000007594	YBR191W-A	S. cerevisiae	""	""
S000007597	YCR038W-A	S. cerevisiae	""	""
S000007598	YDL114W-A	S. cerevisiae	""	""
S000007600	YDL185C-A	S. cerevisiae	""	""
S000007601	YDL240C-A	S. cerevisiae	""	""
S000007602	YDL247W-A	S. cerevisiae	""	""
S000007612	YJL127W-A	S. cerevisiae	""	""
S000007613	YJL156W-A	S. cerevisiae	""	""
S000007617	YKL165C-A	S. cerevisiae	""	""
S000007619	YLR149C-A	S. cerevisiae	""	""
S000007622	YMR013W-A	S. cerevisiae	""	""
S000007623	YNL067W-A	S. cerevisiae	""	""
S000007625	YNR001W-A	S. cerevisiae	""	""
S000007628	YOR008W-B	S. cerevisiae	""	""
S000007629	YOR314W-A	S. cerevisiae	""	""
S000007630	YPR016W-A	S. cerevisiae	""	""
S000007631	YPR074W-A	S. cerevisiae	""	""
S000007632	YCR097W-A	S. cerevisiae	""	""
S000028528	YAL016C-B	S. cerevisiae	""	""
S000028530	YBL068W-A	S. cerevisiae	""	""
S000028533	YBR076C-A	S. cerevisiae	""	""
S000028540	YDR183C-A	S. cerevisiae	""	""
S000028543	YDR406W-A	S. cerevisiae	""	""
S000028544	YEL020C-B	S. cerevisiae	""	""
S000028545	YEL050W-A	S. cerevisiae	""	""
S000028554	YHR180C-B	S. cerevisiae	""	""
S000028555	YHR180W-A	S. cerevisiae	""	""
S000028563	YLR154W-B	S. cerevisiae	""	""
S000028568	YLR222C-A	S. cerevisiae	""	""
S000028575	YMR141W-A	S. cerevisiae	""	""
S000028578	YMR307C-A	S. cerevisiae	""	""
S000028582	YOR072W-A	S. cerevisiae	""	""
S000028583	YOR073W-A	S. cerevisiae	""	""
S000028585	YOR329W-A	S. cerevisiae	""	""
S000028589	YPL250W-A	S. cerevisiae	""	""
S000028591	YPR169W-A	S. cerevisiae	""	""
S000028592	YAL037C-B	S. cerevisiae	""	""
S000028594	YAL068W-A	S. cerevisiae	""	""
S000028596	YBL006W-A	S. cerevisiae	""	""
S000028599	YBL113W-A	S. cerevisiae	""	""
S000028601	YBR131C-A	S. cerevisiae	""	""
S000028602	YBR141W-A	S. cerevisiae	""	""
S000028604	YBR223W-A	S. cerevisiae	""	""
S000028607	YCR045W-A	S. cerevisiae	""	""
S000028608	YCR047W-A	S. cerevisiae	""	""
S000028609	YCR081C-A	S. cerevisiae	""	""
S000028610	YDL025W-A	S. cerevisiae	""	""
S000028611	YDL086C-A	S. cerevisiae	""	""
S000028612	YDL159C-B	S. cerevisiae	""	""
S000028613	YDR354C-A	S. cerevisiae	""	""
S000028614	YDR464C-A	S. cerevisiae	""	""
S000028615	YDR510C-A	S. cerevisiae	""	""
S000028616	YDR524C-A	S. cerevisiae	""	""
S000028617	YDR545C-A	S. cerevisiae	""	""
S000028618	YEL008C-A	S. cerevisiae	""	""
S000028619	YEL030C-A	S. cerevisiae	""	""
S000028620	YEL032C-A	S. cerevisiae	""	""
S000028621	YEL077W-A	S. cerevisiae	""	""
S000028622	YER023C-A	S. cerevisiae	""	""
S000028623	YER088W-B	S. cerevisiae	""	""
S000028624	YER158W-A	S. cerevisiae	""	""
S000028626	YER190C-A	S. cerevisiae	""	""
S000028628	YFL013W-A	S. cerevisiae	""	""
S000028629	YFL031C-A	S. cerevisiae	""	""
S000028631	YFR034W-A	S. cerevisiae	""	""
S000028633	YGL063C-A	S. cerevisiae	""	""
S000028634	YGL123C-A	S. cerevisiae	""	""
S000028637	YGR068W-A	S. cerevisiae	""	""
S000028641	YGR270C-A	S. cerevisiae	""	""
S000028642	YGR296C-A	S. cerevisiae	""	""
S000028643	YGR296C-B	S. cerevisiae	""	""
S000028644	YHL050W-A	S. cerevisiae	""	""
S000028646	YHR032C-A	S. cerevisiae	""	""
S000028647	YHR052W-A	S. cerevisiae	""	""
S000028648	YHR054W-A	S. cerevisiae	""	""
S000028649	YHR137C-A	S. cerevisiae	""	""
S000028655	YHR219C-A	S. cerevisiae	""	""
S000028656	YIL021C-A	S. cerevisiae	""	""
S000028658	YIL177W-A	S. cerevisiae	""	""
S000028659	YJL020W-A	S. cerevisiae	""	""
S000028660	YJL026C-A	S. cerevisiae	""	""
S000028663	YJL222W-A	S. cerevisiae	""	""
S000028664	YJL222W-B	S. cerevisiae	""	""
S000028665	YJL225W-A	S. cerevisiae	""	""
S000028666	YJR140W-A	S. cerevisiae	""	""
S000028668	YKL156C-A	S. cerevisiae	""	""
S000028669	YKR075W-A	S. cerevisiae	""	""
S000028670	YLL019W-A	S. cerevisiae	""	""
S000028671	YLL066W-A	S. cerevisiae	""	""
S000028673	YLL067W-A	S. cerevisiae	""	""
S000028674	YLR120W-A	S. cerevisiae	""	""
S000028675	YLR154W-A	S. cerevisiae	""	""
S000028676	YLR154W-E	S. cerevisiae	""	""
S000028679	YLR286W-A	S. cerevisiae	""	""
S000028680	YLR299C-A	S. cerevisiae	""	""
S000028681	YLR347W-A	S. cerevisiae	""	""
S000028682	YLR399W-A	S. cerevisiae	""	""
S000028684	YLR437C-A	S. cerevisiae	""	""
S000028685	YLR466C-A	S. cerevisiae	""	""
S000028686	YLR466C-B	S. cerevisiae	""	""
S000028687	YLR467C-A	S. cerevisiae	""	""
S000028689	YML133W-A	S. cerevisiae	""	""
S000028690	YML133W-B	S. cerevisiae	""	""
S000028695	YMR272W-A	S. cerevisiae	""	""
S000028700	YNL097W-A	S. cerevisiae	""	""
S000028701	YNL103W-A	S. cerevisiae	""	""
S000028702	YNL144W-A	S. cerevisiae	""	""
S000028703	YNL339W-A	S. cerevisiae	""	""
S000028704	YNL339W-B	S. cerevisiae	""	""
S000028705	YNR003W-A	S. cerevisiae	""	""
S000028708	YOL085W-A	S. cerevisiae	""	""
S000028711	YOR108C-A	S. cerevisiae	""	""
S000028713	YOR161W-A	S. cerevisiae	""	""
S000028714	YOR161W-B	S. cerevisiae	""	""
S000028715	YOR186C-A	S. cerevisiae	""	""
S000028716	YOR231C-A	S. cerevisiae	""	""
S000028717	YOR335W-A	S. cerevisiae	""	""
S000028719	YOR396C-A	S. cerevisiae	""	""
S000028720	YPL135C-A	S. cerevisiae	""	""
S000028722	YPL222C-A	S. cerevisiae	""	""
S000028723	YPL283W-A	S. cerevisiae	""	""
S000028724	YPL283W-B	S. cerevisiae	""	""
S000028726	YPR160C-A	S. cerevisiae	""	""
S000028727	YPR204C-A	S. cerevisiae	""	""
S000028728	YAL016C-A	S. cerevisiae	""	""
S000028729	YAL019W-A	S. cerevisiae	""	""
S000028730	YAL026C-A	S. cerevisiae	""	""
S000028731	YAL031W-A	S. cerevisiae	""	""
S000028733	YAL047W-A	S. cerevisiae	""	""
S000028734	YAL059C-A	S. cerevisiae	""	""
S000028735	YAR019W-A	S. cerevisiae	""	""
S000028737	YBR109W-A	S. cerevisiae	""	""
S000028738	YBR126W-B	S. cerevisiae	""	""
S000028742	YEL018C-A	S. cerevisiae	""	""
S000028743	YEL034C-A	S. cerevisiae	""	""
S000028744	YEL053W-A	S. cerevisiae	""	""
S000028745	YER006C-A	S. cerevisiae	""	""
S000028747	YER046W-A	S. cerevisiae	""	""
S000028748	YER067C-A	S. cerevisiae	""	""
S000028749	YER068C-A	S. cerevisiae	""	""
S000028750	YER076W-A	S. cerevisiae	""	""
S000028751	YER079C-A	S. cerevisiae	""	""
S000028752	YER084W-A	S. cerevisiae	""	""
S000028753	YER087C-A	S. cerevisiae	""	""
S000028754	YER088C-A	S. cerevisiae	""	""
S000028755	YER107W-A	S. cerevisiae	""	""
S000028756	YER133W-A	S. cerevisiae	""	""
S000028757	YER137W-A	S. cerevisiae	""	""
S000028759	YER147C-A	S. cerevisiae	""	""
S000028760	YER148W-A	S. cerevisiae	""	""
S000028761	YER152W-A	S. cerevisiae	""	""
S000028762	YER165C-A	S. cerevisiae	""	""
S000028763	YER172C-A	S. cerevisiae	""	""
S000028765	YFL015W-A	S. cerevisiae	""	""
S000028766	YFL021C-A	S. cerevisiae	""	""
S000028767	YFR036W-A	S. cerevisiae	""	""
S000028768	YFR052C-A	S. cerevisiae	""	""
S000028770	YHL002C-A	S. cerevisiae	""	""
S000028771	YHL006W-A	S. cerevisiae	""	""
S000028772	YHL019W-A	S. cerevisiae	""	""
S000028773	YHL030W-A	S. cerevisiae	""	""
S000028774	YHL034W-A	S. cerevisiae	""	""
S000028775	YHL046W-A	S. cerevisiae	""	""
S000028776	YHR028W-A	S. cerevisiae	""	""
S000028777	YHR056W-A	S. cerevisiae	""	""
S000028778	YHR063W-A	S. cerevisiae	""	""
S000028779	YHR069C-A	S. cerevisiae	""	""
S000028780	YHR070C-A	S. cerevisiae	""	""
S000028781	YHR071C-A	S. cerevisiae	""	""
S000028782	YHR131W-A	S. cerevisiae	""	""
S000028783	YHR165W-A	S. cerevisiae	""	""
S000028784	YHR182C-A	S. cerevisiae	""	""
S000028785	YHR193C-A	S. cerevisiae	""	""
S000028786	YHR218W-A	S. cerevisiae	""	""
S000028787	YIL020C-A	S. cerevisiae	""	""
S000028788	YIL029W-A	S. cerevisiae	""	""
S000028789	YIL030W-A	S. cerevisiae	""	""
S000028790	YIL047C-A	S. cerevisiae	""	""
S000028791	YIL066W-A	S. cerevisiae	""	""
S000028792	YIL068W-A	S. cerevisiae	""	""
S000028793	YIL071W-A	S. cerevisiae	""	""
S000028794	YIL100C-A	S. cerevisiae	""	""
S000028795	YIL115W-A	S. cerevisiae	""	""
S000028796	YIL142C-A	S. cerevisiae	""	""
S000028797	YIL156W-A	S. cerevisiae	""	""
S000028798	YIL171W-A	S. cerevisiae	""	""
S000028799	YIR017W-A	S. cerevisiae	""	""
S000028800	YIR020C-B	S. cerevisiae	""	""
S000028801	YIR023C-A	S. cerevisiae	""	""
S000028802	YIR030W-A	S. cerevisiae	""	""
S000028803	YIR036W-A	S. cerevisiae	""	""
S000028809	YML031C-A	S. cerevisiae	""	""
S000028814	YBL039C-A	S. cerevisiae	""	""
S000028815	YBR121C-A	S. cerevisiae	""	""
S000028820	YDR118W-A	S. cerevisiae	""	""
S000028821	YDR320W-B	S. cerevisiae	""	""
S000028822	YDR371C-A	S. cerevisiae	""	""
S000028823	YFR009W-A	S. cerevisiae	""	""
S000028824	YFR010W-A	S. cerevisiae	""	""
S000028825	YGL014C-A	S. cerevisiae	""	""
S000028831	YHR032W-A	S. cerevisiae	""	""
S000028833	YHR073C-B	S. cerevisiae	""	""
S000028834	YHR073W-A	S. cerevisiae	""	""
S000028839	YJL197C-A	S. cerevisiae	""	""
S000028840	YKL100W-A	S. cerevisiae	""	""
S000028841	YKL145W-A	S. cerevisiae	""	""
S000028843	YLR154W-F	S. cerevisiae	""	""
S000028844	YLR163W-A	S. cerevisiae	""	""
S000028846	YLR364C-A	S. cerevisiae	""	""
S000028847	YMR013C-A	S. cerevisiae	""	""
S000028853	YOL083C-A	S. cerevisiae	""	""
S000028860	YPR160W-A	S. cerevisiae	""	""
S000028861	YPR170W-A	S. cerevisiae	""	""
S000029725	YER090C-A	S. cerevisiae	""	""
S000087087	YBR056C-B	S. cerevisiae	""	""
